,ReportNormId,ReportNormName
462,1022, + Nhóm 4: Nợ nghi ngờ
463,1023, + Nhóm 5: Nợ có khả năng mất vốn
464,1024,Các khoản nợ Chính phủ và Ngân hàng Nhà nước
465,1025,Vay theo hồ sơ tín dụng
466,1026,"Vay chiết khấu, tái chiết khấu giấy tờ có giá"
467,1027,Vay cầm cố các giấy tờ có giá
468,1028,Vay thanh toán bù trừ
469,1029,Vay hỗ trợ đặc biệt
470,1030,Vay dài hạn NHNN từ nguồn của các tổ chức quốc tế
471,1031,Vay hỗ trợ các DNNN
472,1032,Vay tái cấp vốn
473,1033,Vay khác
474,1034,Nợ quá hạn
475,1035,Tiền gửi thanh toán của Kho bạc NN
476,1036,Trong đó:   + Bằng tiền VNĐ
477,1037,                + Bằng ngoại tệ
478,1038,Tiền gửi của NHNN
479,1039,Các khoản nợ khác
480,1040,"Tiền, vàng gửi và vay các tổ chức tín dụng khác"
481,1041,Tiền gửi của các tổ chức tín dụng khác
482,1042, + Tiền gửi có kỳ hạn
483,1043,Trong đó:   + Bằng tiền VNĐ
484,1044,                + Bằng ngoại tệ
485,1045, + Tiền gửi không kỳ hạn
486,1046,Trong đó:   + Bằng tiền VNĐ
487,1047,                + Bằng ngoại tệ
488,1048,Tiền vay các tổ chức tín dụng khác
489,1049,+ Bằng tiền VNĐ
490,1050,"Trong đó:   + Vay chiết khấu, tái chiết khấu"
491,1051,"                + Vay cầm cố, thế chấp"
492,1052,+ Bằng ngoại tệ
493,1053,"Trong đó:   + Vay chiết khấu, tái chiết khấu"
494,1054,"                + Vay cầm cố, thế chấp"
495,1055,Tiền gửi của khách hàng
496,1056,Theo tiền tệ và loại tiền gửi
497,1057, + Tiền gửi không kỳ hạn
498,1058,Trong đó:   + Bằng tiền VNĐ
499,1059,                + Bằng ngoại tệ
500,1060, + Tiền gửi có kỳ hạn
501,1061,Trong đó:   + Bằng tiền VNĐ
502,1062,                + Bằng ngoại tệ
503,1063, + Tiền gửi tiết kiệm
504,1064,Trong đó:   + Bằng tiền VNĐ
505,1065,                + Bằng ngoại tệ
506,1066, + Tiền ký quỹ
507,1067,Trong đó:   + Bằng tiền VNĐ
508,1068,                + Bằng ngoại tệ
509,1069, + Tiền gửi vốn chuyên dùng
510,1070,Trong đó:   + Bằng tiền VNĐ
511,1071,                + Bằng ngoại tệ
512,1072, + Tiền gửi đảm bảo thanh toán khác
513,1073,Trong đó:   + Bằng tiền VNĐ
514,1074,                + Bằng ngoại tệ
515,1075,Theo loại hình doanh nghiệp
516,1076,- Doanh nghiệp nhà nước
517,1077,- Công ty TNHH
518,1078,+ Công ty TNHH MTV vốn nhà nước 100%
519,1079,+ Công ty TNHH MTV vốn nhà nước trên 50%
520,1080,+ Công ty TNHH khác
521,1081, - Công ty cổ phần có vốn nhà nước trên 50%
522,1082, - Công ty cổ phần khác
523,1083, - Doanh nghiệp tư nhân
524,1084,"- Công ty CP, TNHH, DN tư nhân"
525,1085, - Hợp tác xã và liên hợp tác xã
526,1086," - Công ty liên doanh, hợp doanh"
527,1087, - Công ty hợp danh
528,1088, - Công ty vốn nước ngoài
529,1089," - Hộ kinh doanh, cá nhân"
530,1090," - Dịch vụ hành chính sự nghiệp, Đảng, đoàn thể, hiệp hội"
531,1091, - Khác
532,1092,"Vốn nhận tài trợ, ủy thác đầu tư, cho vay các tổ chức tín dụng chịu rủi ro"
533,1093,"Vốn nhận của các tổ chức, cá nhân"
534,1094,Trong đó:   + Bằng tiền VNĐ
535,1095,                + Bằng ngoại tệ
536,1096,Vốn nhận trực tiếp của các tổ chức quốc tế
537,1097,Trong đó:   + Bằng tiền VNĐ
538,1098,                + Bằng ngoại tệ
539,1099,Khác
540,1100,Phát hành giấy tờ có giá
541,1101,Chứng chỉ tiền gửi
542,1102,Dưới 12 tháng
543,1103,Từ 12 tháng  đến dưới 5 năm
544,1104,Trên 5 năm
545,1105,Kỳ phiếu
546,1106,Dưới 12 tháng
547,1107,Từ 12 tháng  đến dưới 5 năm
548,1108,Trên 5 năm
549,1109,Trái phiếu
550,1110,Dưới 12 tháng
551,1111,Từ 12 tháng  đến dưới 5 năm
552,1112,Trên 5 năm
553,1113,Tổng kỳ phiếu và trái phiếu
554,1114,Dưới 12 tháng
555,1115,Từ 12 tháng  đến dưới 5 năm
556,1116,Trên 5 năm
557,1117,Các loại giấy tờ có giá khác
558,1118,Các khoản phải trả và công nợ khác
559,1119,Các khoản phải trả nội bộ
560,1120,Các khoản phải trả nhân viên
561,1121,Các khoản phải trả nội bộ khác
562,1122,Các khoản phải trả bên ngoài
563,1123,Thuế và các khoản phải nộp Nhà nước
564,1124,Các khoản phải trả khác
565,1125,Dự phòng rủi ro khác
566,1126,"Quỹ khen thưởng, phúc lợi"
567,1127,Khác
568,1128,Vốn và các quỹ
569,1129,Số dư đầu kỳ
570,1130, + Tăng vốn trong kỳ
571,1131, + Lãi trong kỳ
572,1132, + Chuyển từ quỹ dự trữ sang vốn
573,1133, + Tăng do hợp nhất kinh doanh
574,1134, + Bán cổ phiếu quỹ
575,1135, + Đánh giá lại tài sản
576,1136, + Tăng khác
577,1137, + Chi trả cổ tức
578,1138, + Trích lập quỹ
579,1139, + Mua cổ phiếu quỹ
580,1140, + Giảm khác (*)
581,1141,Số dư cuối kỳ
582,1142,II. THÔNG TIN BỔ SUNG CHO CÁC KHOẢN MỤC TRÌNH BÀY TRONG BẢNG KẾT QUẢ KINH DOANH
583,1143,Thu nhập lãi và các khoản thu nhập tương tự 
584,1144,Thu lãi tiền gửi
585,1145,Thu lãi cho vay khách hàng
586,1146,"Thu lãi từ kinh doanh, đầu tư chứng khoán"
587,1147,Thu nhập lãi cho thuê tài chính
588,1148,Thu phí từ nghiệp vụ bảo lãnh
589,1149,Thu nhập lãi từ nghiệp vụ mua bán nợ
590,1150,Thu khác từ hoạt động tín dụng
591,1151,Chi phí lãi và các khoản tương tự chi phí lãi
592,1152,Trả lãi tiền gửi
593,1153,Trả lãi tiền vay
594,1154,Trả lãi phát hành giấy tờ có giá
595,1155,Trả lãi tiền thuê tài chính
596,1156,Chi phí khác cho hoạt động tín dụng
597,1157,Thu nhập từ hoạt động dịch vụ
598,1158,Dịch vụ thanh toán và tiền mặt
599,1159,"Dịch vụ ngân quỹ, bảo lãnh"
600,1160,Dịch vụ chứng khoán
601,1161,Dịch vụ quản lý quỹ
602,1162,"Dịch vụ cho thuê và quản lý kho, định giá tài sản"
603,1163,Thu từ nghiệp vụ ủy thác và đại lý
604,1164,Hoạt động bảo hiểm
605,1165,Thu về chi trả kiều hối
606,1166,Các dịch vụ khác
607,1167,Chi phí từ hoạt động dịch vụ
608,1168,Dịch vụ thanh toán
609,1169,"Dịch vụ ngân quỹ, bảo lãnh"
610,1170,Dịch vụ môi giới chứng khoán
611,1171,Hoạt động bảo hiểm
612,1172,Chi về dịch vụ ủy thác và đại lý
613,1173,"Chi về dịch vụ viễn thông, nghiệp vụ ủy thác và đại lý"
614,1174,Chi phí hoạt động khác
615,1175,Lãi thuần từ hoạt động kinh doanh vàng và ngoại hối
616,1176,Thu nhập từ hoạt động kinh doanh vàng và ngoại hối
617,1177,Thu từ kinh doanh ngoại tệ giao ngay
618,1178,Thu từ kinh doanh vàng
619,1179,Thu từ các công cụ phái sính tiền tệ
